T_MAE,T_early_mean,T_min,T_soil,case,cat,cf_max,cf_mean,cf_start,dT_night,date,event,excluded,excluded_reason,icao,icon_T_10,icon_T_100,icon_T_1000,icon_T_200,icon_T_300,icon_T_50,icon_T_500,icon_qv_10,icon_qv_100,icon_qv_1000,icon_qv_200,icon_qv_300,icon_qv_50,icon_qv_500,icon_rh_10,icon_rh_100,icon_rh_1000,icon_rh_200,icon_rh_300,icon_rh_50,icon_rh_500,mod_min_vis,obs_T_start,obs_Td_start,obs_min_vis,obs_n,obs_n_fog,onset,prof_T_10,prof_T_100,prof_T_1000,prof_T_200,prof_T_300,prof_T_50,prof_T_500,prof_qv_10,prof_qv_100,prof_qv_1000,prof_qv_200,prof_qv_300,prof_qv_50,prof_qv_500,prof_rh_10,prof_rh_100,prof_rh_1000,prof_rh_200,prof_rh_300,prof_rh_50,prof_rh_500,qv_early_mean,regime,rh_early_max,rh_early_mean,rh_night_max,wind_start
0.994706840855406,13.982139687632298,10.385131121206598,13.600000000000023,LBBG_CDRY_2024-05-02,CDRY,0.78,0.31411764705882356,0.78,-4.599661427229307,2024-05-02,CN,False,,LBBG,,14.077908129745822,6.914558710497829,13.299658453250856,12.513550574651902,,10.777435173570723,,7.199174858129776,5.607006970141089,6.937537920531335,6.6825613087757345,,6.311523452843771,,0.7073120386937785,0.8029846589721458,0.7086984549595836,0.7110740356652645,,0.7364563411083207,10000.0,15.0,12.0,,34,0,,14.92396274217964,14.239627421796229,6.914558713818508,13.479254843592457,12.703016270097976,14.619813710898143,10.785621231423761,8.731688629095963,7.802614858764272,5.607006977149082,6.885784619950986,6.1434751215359205,8.305839637280135,6.288366719774893,0.812835874314408,0.7515452544785388,0.8029846597784613,0.689027385790714,0.6400009168932769,0.7849803749833456,0.7334011576773224,7.807063947117524,"[{'hour_utc': 18, 'regime': 'advective',",0.8185235483820663,0.7728441664581036,0.9406771521849537,2.0077494893086554
1.2519498367382331,13.599883206831397,9.019699465328074,17.0,LBBG_CDRY_2024-10-14,CDRY,0.65,0.2435294117647059,0.09,-7.006149468309161,2024-10-14,FA,False,,LBBG,,,13.369824917260189,17.774884576010663,17.474418387839137,,16.917723502898696,,,6.99411472806373,9.556821770010123,9.010462801372107,,7.967972311775306,,,0.6526986966473757,0.7348535063122942,0.6980080322014686,,0.6247723202057143,543.5150418681388,17.0,12.0,,34,0,,16.129244668186118,17.292446681861463,13.369824883672038,18.584893363722927,19.47871830701041,16.646223340930703,16.91717212842815,8.731688629095963,7.802614858764272,6.994114710274798,6.885784619950986,6.441233917350886,8.305839637280135,7.967680292916425,0.7513604701221893,0.6159597599314326,0.6526986964321735,0.494235136079361,0.4362597117107291,0.6878061358753952,0.6247736001457703,8.665527554649127,"[{'hour_utc': 18, 'regime': 'radiative',",0.9772608093485132,0.8849740376366931,0.9947972408566473,1.3384996595391037
2.0319544906299085,13.477150928586104,9.338009808067909,13.899999999999977,LBBG_CDRY_2024-10-31,CDRY,0.72,0.3241176470588235,0.59,-4.670945353518277,2024-10-31,CN,False,,LBBG,,,10.205673108208828,14.81903068978454,14.462183645374068,,13.74094808298804,,,6.111040683278614,8.023556580767362,7.598409641905924,,6.7591252663108365,,,0.70848795392392,0.7518048566611544,0.7197843692732097,,0.6553967547374714,10000.0,16.0,10.0,,34,0,,14.044775807930932,14.447758079309267,10.205673095103634,14.895516158618591,15.21961172003705,14.223879039654662,13.74079359368693,7.631857718402499,6.8198088747006524,6.111040678004817,6.018461383173235,5.495156045888314,7.259648113053098,6.759063096745897,0.7527283020987378,0.6479295026719504,0.7084879539237119,0.5485460314080528,0.4863589367911681,0.7042016302703349,0.6553977815316331,7.708462465934718,"[{'hour_utc': 18, 'regime': 'radiative',",0.8133216866982814,0.7903494432522589,0.9721770431156186,1.0038747446543277
1.080409826371702,2.8008430419205523,-3.159528583370559,4.399999999999977,LBBG_CDRY_2025-01-19,CDRY,0.07,0.007058823529411765,0.0,-7.209221960431876,2025-01-19,CN,False,,LBBG,,,5.776740432713666,8.955155095962482,8.620730807446648,,7.794107109987408,,,2.554208895637555,3.38766894708502,3.2439260165644965,,2.9947766937708136,,,0.4003226133448083,0.47043090874623783,0.4551068084354401,,0.43388358928195725,10000.0,6.0,-0.0,,34,0,,4.248466885306698,6.484668853067035,5.776740358194104,8.96933770613407,11.044291583060613,5.242334426533546,7.793263449516758,3.51056328084798,3.137031098648851,2.5542088980559927,2.7684214029001355,2.511760778907963,3.339351577020117,2.994804073699589,0.6756051062326391,0.5103728556682804,0.40032261582451417,0.3748216474929692,0.29389244207037785,0.596238033582878,0.4339128972637118,3.519496984819798,"[{'hour_utc': 18, 'regime': 'radiative',",0.8144176232979583,0.7528574999562345,0.9437792004709191,0.0
1.9971049459874424,22.69380178547085,18.28385973333866,24.80000000000001,LBBG_CDRY_2026-07-20,CDRY,0.17,0.025294117647058828,0.01,-6.7044925845984835,2026-07-20,FA,False,,LBBG,,,21.925529044512075,24.088477441545876,23.87913845414596,,23.5075593595908,,,12.710685719831393,13.342073927906569,11.507708243528072,,7.91312182572986,,,0.6811101269424186,0.6864051957453075,0.5927851184573122,,0.40749524778715007,525.3786827408603,26.0,19.0,,35,0,,24.941761589685598,24.417615896856375,21.925529057493975,23.835231793712808,23.40048953109425,24.70880794842816,23.507811023785337,13.792402177380058,12.324855059987065,12.710685701770291,10.876647590273636,9.934343045377007,13.119739273377384,7.9127716959504575,0.6795350196991177,0.6205641422847291,0.6811101254619405,0.56109719921963,0.5214902793823217,0.6526548269282904,0.4074685147667575,13.930843451315052,"[{'hour_utc': 18, 'regime': 'radiative',",0.9110154378190636,0.7942587071439347,0.9949133602419978,1.6731245744238794
1.098382997328095,24.167692238690403,22.041159164039925,25.19999999999999,LBBG_CDRY_2026-07-21,CDRY,0.79,0.49117647058823527,0.49,-2.9531921886139685,2026-07-21,CN,False,,LBBG,,,19.721523721267545,23.92555894087218,23.13852483318516,,21.622348787606484,,,11.793168321903906,15.756962516647603,15.13725128051176,,13.834518462448681,,,0.7259211797469356,0.8180109198768866,0.8159428862149787,,0.8005163956879968,10000.0,27.0,21.0,,35,0,,24.971756763269525,24.717567632695136,19.721523726722182,24.435135265390215,23.902224632947252,24.858783816347568,21.622469763342565,15.65866671363563,13.99254409858775,11.793168314293268,12.348378001313023,11.859398312943416,14.894985014165863,13.83434967031652,0.7700607284475086,0.6915948820960972,0.7259211790431178,0.6137724719405624,0.6072223171733161,0.734141506241837,0.800501017199426,16.070049882433466,"[{'hour_utc': 18, 'regime': 'advective',",0.8616918178743768,0.8319422672777389,0.9127844812816854,2.342374404193431
1.5453770873503287,-0.7653482218403156,-4.6994846698607375,1.8000000000000114,LBBG_CLDY_2025-02-09,CLDY,0.94,0.5599999999999999,0.82,-3.688670255329839,2025-02-09,CN,False,,LBBG,,,-6.071017210134471,,-2.51555158577321,,-3.12405880970897,,,2.302758128780402,,2.2404745836164293,,2.309841602240044,,,0.8630548336658095,,0.700487850518269,,0.7367614740590445,10000.0,-1.0,-6.0,,34,0,,-1.0540720726545487,-1.540720726545544,-6.071017194484227,-2.0814414530910312,-2.600312130243367,-1.2703603632727436,-3.1239286316809967,2.4120186210555055,2.155374504978069,2.302758131361677,1.9021124995839256,1.7261941667352851,2.294383572497389,2.3098630732431977,0.6803927770680442,0.6230957419174958,0.8630548336082945,0.5651671533243808,0.5276444724006102,0.6542928564267085,0.736761204477002,2.3058238787419514,"[{'hour_utc': 18, 'regime': 'dynamic', '",0.6857333196899891,0.6374660822328819,0.7503868798619705,5.68862355304119
1.0636411209484795,22.499998331559844,17.516296812533938,24.100000000000023,LBBG_DYNM_2024-07-25,DYNM,0.48,0.20294117647058824,0.0,-6.463703187466081,2024-07-25,CN,False,,LBBG,,22.756704050258293,16.877526372803345,22.05193800762163,21.37705700388011,23.109087071576596,20.133254983033964,,13.09614463867484,9.035747823166444,12.383625703877234,11.76043323040388,13.452404106073642,10.83931148632646,,0.7340179403178012,0.6627612819341353,0.7167712957655321,0.7023902201581387,0.7426412625939357,0.6842021224116942,10000.0,26.0,16.0,,34,0,,23.899999999999977,23.0,16.877526376743162,22.0,21.04427488772751,23.5,20.133300338591255,12.1292956594306,10.838707487588549,9.03574781745227,9.56512696084833,8.621420591897417,11.537743417424934,10.839245705082535,0.6373536854098346,0.5959338802600683,0.6627612813546743,0.5532690998317888,0.5237144938661906,0.6185766219792561,0.6841960112738111,13.138411570090991,"[{'hour_utc': 18, 'regime': 'advective',",0.8526069723920269,0.7575283956255643,0.994095663441608,2.0077494893086554
1.3690314996384112,1.1335778911513217,-0.7426729944725139,4.199999999999989,LBBG_DYNM_2024-12-27,DYNM,0.81,0.5529411764705883,0.52,-1.7377976952558924,2024-12-27,CN,False,,LBBG,,,-3.4884696480704065,0.4474045921008951,-0.10979146978866083,,-1.1452957985921444,,,2.8773525484312055,3.360946934814163,3.2698431082787978,,3.0889690064164794,,,0.8784353816274494,0.8485965232661328,0.8489295164404959,,0.843719140671345,10000.0,2.0,-1.0,,34,0,,0.9756235039169496,0.7562350391695531,-3.4884696427973836,0.5124700783391631,0.21355666559378506,0.878117519584805,-1.1452026538830182,3.51056328084798,3.137031098648851,2.877352550483764,2.7684214029001355,2.5292873046490025,3.339351577020117,3.089005263964653,0.8538470972704463,0.7665279078179127,0.8784353818853096,0.6799618806403677,0.6294480180557427,0.8138706907200552,0.843722994954884,3.471967138561773,"[{'hour_utc': 18, 'regime': 'dynamic', '",0.8620656108210111,0.8359763714963503,0.9158671363692205,3.3462491488477593
1.0028157667889919,0.701136331072189,-2.501916088479902,3.3000000000000114,LBBG_DYNM_2025-01-05,DYNM,0.5,0.13647058823529412,0.34,-2.5619160884799044,2025-01-05,CN,False,,LBBG,,,-1.2767117140761002,5.03171488708233,4.250718766869852,,2.7157737697891093,,,3.3968144991633284,4.318566339157001,4.2150965570653005,,3.985387634660131,,,0.8786648597757549,0.783913910641693,0.7984966905132765,,0.8211842510451604,10000.0,3.0,-0.0,,34,0,,0.30000000000001137,3.0,-1.2767117659946052,6.0,8.243378320836428,1.5,2.7145051158720435,3.26057173206161,2.913639313853802,3.396814488860659,2.57127884475566,2.4806924007488598,3.1015522599380168,3.9851358840112354,0.833017795101301,0.6058031955812913,0.8786648606173331,0.4271922824248691,0.36180552872333077,0.7227085665917337,0.8212078926681251,3.577071093255043,"[{'hour_utc': 18, 'regime': 'radiative',",0.9102444326167842,0.884885644161941,0.9306496145953288,1.0038747446543277
