time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,4.0,80.4,0.0,10000,VFR
1.0,19.0,-0.09,100.0,0.1304,544,IFR
2.0,20.0,-0.28,100.0,0.1028,634,MVFR
3.0,21.0,-0.47,100.0,0.0937,674,MVFR
4.0,22.0,-0.66,100.0,0.0903,690,MVFR
5.0,23.0,-0.85,100.0,0.0888,698,MVFR
6.0,0.0,-1.05,100.0,0.088,702,MVFR
7.0,1.0,-1.24,100.0,0.0874,705,MVFR
8.0,2.0,-1.43,100.0,0.0869,708,MVFR
9.0,3.0,-1.63,100.0,0.0864,710,MVFR
10.0,4.0,-1.83,100.0,0.086,713,MVFR
11.0,5.0,-2.02,100.0,0.0855,715,MVFR
12.0,6.0,-2.22,100.0,0.085,718,MVFR
