time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,2.98,93.0,0.0,10000,VFR
1.0,19.0,2.06,99.3,0.0,10000,VFR
2.0,20.0,1.88,100.0,0.0218,1739,VFR
3.0,21.0,1.84,100.0,0.0292,1437,VFR
4.0,22.0,1.78,100.0,0.0359,1257,VFR
5.0,23.0,1.71,100.0,0.0439,1103,VFR
6.0,0.0,1.62,100.0,0.0522,986,VFR
7.0,1.0,1.47,100.0,0.0704,811,VFR
8.0,2.0,1.29,100.0,0.083,729,MVFR
9.0,3.0,1.15,100.0,0.0759,773,MVFR
10.0,4.0,1.11,100.0,0.0563,939,VFR
11.0,5.0,1.08,100.0,0.0447,1091,VFR
12.0,6.0,1.04,100.0,0.0393,1186,VFR
