time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,5.0,93.0,0.0,10000,VFR
1.0,19.0,4.07,99.3,0.0,10000,VFR
2.0,20.0,3.91,100.0,0.0175,2009,VFR
3.0,21.0,3.88,100.0,0.0232,1671,VFR
4.0,22.0,3.84,100.0,0.0296,1425,VFR
5.0,23.0,3.79,100.0,0.0353,1271,VFR
6.0,0.0,3.75,100.0,0.0395,1182,VFR
7.0,1.0,3.7,100.0,0.042,1136,VFR
8.0,2.0,3.65,100.0,0.0434,1111,VFR
9.0,3.0,3.59,100.0,0.0457,1076,VFR
10.0,4.0,3.53,100.0,0.048,1042,VFR
11.0,5.0,3.46,100.0,0.0518,991,VFR
12.0,6.0,3.34,100.0,0.0692,821,VFR
