time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-1.63,95.0,0.0,10000,VFR
1.0,19.0,-1.98,97.5,0.0,10000,VFR
2.0,20.0,-2.32,100.0,0.0018,10000,VFR
3.0,21.0,-2.52,100.0,0.0432,1115,VFR
4.0,22.0,-2.74,100.0,0.0689,823,VFR
5.0,23.0,-2.92,100.0,0.0738,787,MVFR
6.0,0.0,-3.09,100.0,0.0729,793,MVFR
7.0,1.0,-3.25,100.0,0.0722,798,MVFR
8.0,2.0,-3.42,100.0,0.0717,802,VFR
9.0,3.0,-3.58,100.0,0.0713,805,VFR
10.0,4.0,-3.75,100.0,0.071,807,VFR
11.0,5.0,-3.92,100.0,0.0706,810,VFR
12.0,6.0,-4.08,100.0,0.0702,813,VFR
