time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,19.0,20.01,93.5,0.0,10000,VFR
1.0,20.0,19.47,96.8,0.0,10000,VFR
2.0,21.0,19.12,99.0,0.0,10000,VFR
3.0,22.0,18.92,99.9,0.0409,1156,VFR
4.0,23.0,18.81,100.0,0.0919,682,MVFR
5.0,0.0,18.7,100.0,0.1143,592,IFR
6.0,1.0,18.59,100.0,0.1217,568,IFR
7.0,2.0,18.48,100.0,0.1237,562,IFR
8.0,3.0,18.37,100.0,0.1242,561,IFR
9.0,4.0,18.26,99.9,0.1247,560,IFR
10.0,5.0,18.11,99.9,0.1527,490,IFR
11.0,6.0,17.97,100.0,0.137,526,IFR
12.0,7.0,17.86,100.0,0.1224,566,IFR
