time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,8.06,65.1,0.0,10000,VFR
1.0,19.0,8.58,59.3,0.0,10000,VFR
2.0,20.0,8.48,59.0,0.0,10000,VFR
3.0,21.0,8.3,59.5,0.0,10000,VFR
4.0,22.0,8.12,60.0,0.0,10000,VFR
5.0,23.0,7.93,60.5,0.0,10000,VFR
6.0,0.0,7.75,61.1,0.0,10000,VFR
7.0,1.0,7.57,61.6,0.0,10000,VFR
8.0,2.0,7.39,62.2,0.0,10000,VFR
9.0,3.0,7.21,62.8,0.0,10000,VFR
10.0,4.0,7.03,63.4,0.0,10000,VFR
11.0,5.0,6.85,64.0,0.0,10000,VFR
12.0,6.0,6.67,64.6,0.0,10000,VFR
13.0,7.0,6.88,63.5,0.0,10000,VFR
14.0,8.0,7.54,60.5,0.0,10000,VFR
15.0,9.0,8.06,60.7,0.0,10000,VFR
