time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,20.01,99.7,0.0,10000,VFR
1.0,19.0,20.28,98.0,0.0,10000,VFR
2.0,20.0,20.02,99.6,0.0,10000,VFR
3.0,21.0,20.11,99.0,0.0,10000,VFR
4.0,22.0,20.21,98.4,0.0,10000,VFR
5.0,23.0,20.16,98.6,0.0188,1917,VFR
6.0,0.0,20.12,98.9,0.006,4005,VFR
7.0,1.0,20.01,99.6,0.0055,4268,VFR
8.0,2.0,20.08,99.1,0.005,4530,VFR
9.0,3.0,20.17,98.6,0.0046,10000,VFR
10.0,4.0,20.03,99.5,0.0042,10000,VFR
11.0,5.0,20.12,98.7,0.0039,10000,VFR
12.0,6.0,19.95,93.3,0.0,10000,VFR
