time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,13.0,37.5,0.0,10000,VFR
1.0,19.0,9.38,48.6,0.0,10000,VFR
2.0,20.0,8.3,53.6,0.0,10000,VFR
3.0,21.0,5.37,65.6,0.0,10000,VFR
4.0,22.0,3.68,74.0,0.0,10000,VFR
5.0,23.0,2.63,79.7,0.0,10000,VFR
6.0,0.0,1.96,83.6,0.0,10000,VFR
7.0,1.0,1.5,86.5,0.0,10000,VFR
8.0,2.0,1.21,88.3,0.0,10000,VFR
9.0,3.0,0.95,89.9,0.0,10000,VFR
10.0,4.0,0.7,91.6,0.0,10000,VFR
11.0,5.0,0.47,93.1,0.0,10000,VFR
12.0,6.0,0.26,94.6,0.0,10000,VFR
13.0,7.0,0.07,95.9,0.0,10000,VFR
14.0,8.0,0.53,92.8,0.0,10000,VFR
15.0,9.0,5.58,64.3,0.0,10000,VFR
16.0,10.0,8.02,54.4,0.0,10000,VFR
