time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,17.06,93.1,0.0,10000,VFR
1.0,19.0,17.38,91.2,0.0,10000,VFR
2.0,20.0,17.16,92.5,0.0,10000,VFR
3.0,21.0,16.87,94.2,0.0,10000,VFR
4.0,22.0,16.6,95.9,0.0,10000,VFR
5.0,23.0,16.35,97.5,0.0,10000,VFR
6.0,0.0,16.13,98.9,0.0,10000,VFR
7.0,1.0,15.95,99.9,0.0179,1976,VFR
8.0,2.0,16.03,99.5,0.0,10000,VFR
9.0,3.0,16.24,98.2,0.0,10000,VFR
10.0,4.0,16.31,97.7,0.0,10000,VFR
11.0,5.0,16.29,97.8,0.0,10000,VFR
12.0,6.0,16.46,95.7,0.0,10000,VFR
