time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,6.01,86.6,0.0,10000,VFR
1.0,19.0,3.83,93.9,0.0,10000,VFR
2.0,20.0,2.78,97.1,0.0,10000,VFR
3.0,21.0,2.14,98.6,0.0,10000,VFR
4.0,22.0,1.78,98.4,0.0,10000,VFR
5.0,23.0,1.34,100.0,0.0024,10000,VFR
6.0,0.0,1.19,99.9,0.0443,1096,VFR
7.0,1.0,1.29,99.9,0.0315,1368,VFR
8.0,2.0,1.17,100.0,0.0464,1065,VFR
9.0,3.0,0.93,100.0,0.0595,906,VFR
10.0,4.0,0.71,100.0,0.0683,827,VFR
11.0,5.0,0.51,100.0,0.085,718,MVFR
12.0,6.0,0.31,100.0,0.091,687,MVFR
