time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,1.01,86.1,0.0,10000,VFR
1.0,19.0,0.09,92.0,0.0,10000,VFR
2.0,20.0,-0.6,96.8,0.0,10000,VFR
3.0,21.0,-1.08,99.9,0.0163,2103,VFR
4.0,22.0,-1.1,99.9,0.017,2042,VFR
5.0,23.0,-1.04,99.4,0.0165,2081,VFR
6.0,0.0,-1.05,99.4,0.0158,2140,VFR
7.0,1.0,-1.12,99.8,0.0166,2079,VFR
8.0,2.0,-1.08,99.4,0.0162,2105,VFR
9.0,3.0,-1.01,98.9,0.0135,2373,VFR
10.0,4.0,-0.95,98.5,0.0115,2639,VFR
11.0,5.0,-1.16,99.9,0.0122,2538,VFR
12.0,6.0,-1.05,99.2,0.0105,2804,VFR
