time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,5.04,80.3,0.0,10000,VFR
1.0,19.0,5.57,82.7,0.0,10000,VFR
2.0,20.0,5.3,84.7,0.0,10000,VFR
3.0,21.0,4.84,88.3,0.0,10000,VFR
4.0,22.0,4.22,93.2,0.0,10000,VFR
5.0,23.0,3.74,97.2,0.0,10000,VFR
6.0,0.0,3.24,100.0,0.0344,1293,VFR
7.0,1.0,3.11,100.0,0.0594,906,VFR
8.0,2.0,2.98,100.0,0.0734,790,MVFR
9.0,3.0,2.83,100.0,0.0827,731,MVFR
10.0,4.0,2.63,100.0,0.0977,656,MVFR
11.0,5.0,2.39,100.0,0.1088,611,MVFR
12.0,6.0,2.16,100.0,0.1078,615,MVFR
