time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,17.0,21.99,88.0,0.0,10000,VFR
1.0,18.0,21.65,89.9,0.0,10000,VFR
2.0,19.0,20.83,94.6,0.0,10000,VFR
3.0,20.0,20.29,97.9,0.0,10000,VFR
4.0,21.0,19.96,99.9,0.0075,3478,VFR
5.0,22.0,19.87,100.0,0.072,800,VFR
6.0,23.0,19.77,99.9,0.1111,603,MVFR
7.0,0.0,19.65,100.0,0.1199,574,IFR
8.0,1.0,19.55,100.0,0.1231,564,IFR
9.0,2.0,19.44,100.0,0.1242,561,IFR
10.0,3.0,19.34,99.9,0.1266,554,IFR
11.0,4.0,19.23,100.0,0.124,561,IFR
12.0,5.0,19.15,99.2,0.1906,425,IFR
