time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,4.06,86.1,0.0,10000,VFR
0.5,18.5,3.53,89.3,0.0,10000,VFR
1.0,19.0,2.86,92.4,0.0,10000,VFR
1.5,19.5,2.3,94.7,0.0,10000,VFR
2.0,20.0,1.85,96.3,0.0,10000,VFR
2.5,20.5,1.64,97.4,0.0,10000,VFR
3.0,21.0,1.57,97.8,0.0,10000,VFR
3.5,21.5,1.2,98.5,0.0,10000,VFR
4.0,22.0,0.65,99.1,0.0,10000,VFR
4.5,22.5,0.13,99.5,0.0,10000,VFR
5.0,23.0,-0.36,99.5,0.0217,1744,VFR
5.5,23.5,-0.69,99.5,0.0733,790,MVFR
6.0,0.0,-0.86,99.5,0.0951,667,MVFR
6.5,0.5,-1.02,99.5,0.1043,629,MVFR
7.0,1.0,-1.17,99.5,0.1084,613,MVFR
7.5,1.5,-1.32,99.5,0.1102,606,MVFR
8.0,2.0,-1.47,99.5,0.1108,604,MVFR
8.5,2.5,-1.62,99.5,0.1108,604,MVFR
9.0,3.0,-1.77,99.5,0.1105,605,MVFR
9.5,3.5,-1.92,99.5,0.11,607,MVFR
10.0,4.0,-2.07,99.5,0.1095,609,MVFR
10.5,4.5,-2.22,99.5,0.109,611,MVFR
11.0,5.0,-2.37,99.5,0.1084,613,MVFR
11.5,5.5,-2.52,99.5,0.1079,615,MVFR
12.0,6.0,-2.66,99.5,0.1046,627,MVFR
