time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,5.06,86.2,0.0,10000,VFR
1.0,19.0,4.12,92.1,0.0,10000,VFR
2.0,20.0,3.39,97.0,0.0,10000,VFR
3.0,21.0,2.94,99.8,0.0165,2081,VFR
4.0,22.0,2.98,99.4,0.0175,2005,VFR
5.0,23.0,2.91,99.8,0.0179,1976,VFR
6.0,0.0,2.89,99.9,0.0181,1966,VFR
7.0,1.0,2.88,99.9,0.0176,2002,VFR
8.0,2.0,2.89,99.8,0.017,2046,VFR
9.0,3.0,2.89,99.7,0.0182,1955,VFR
10.0,4.0,2.85,99.9,0.0181,1962,VFR
11.0,5.0,2.84,99.9,0.0189,1910,VFR
12.0,6.0,2.91,99.4,0.0154,2178,VFR
