time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,8.06,92.7,0.0,10000,VFR
0.5,18.5,7.92,93.2,0.0,10000,VFR
1.0,19.0,7.62,93.8,0.0,10000,VFR
1.5,19.5,7.31,94.4,0.0,10000,VFR
2.0,20.0,7.03,94.9,0.0,10000,VFR
2.5,20.5,6.72,95.4,0.0,10000,VFR
3.0,21.0,6.38,96.0,0.0,10000,VFR
3.5,21.5,6.07,96.4,0.0,10000,VFR
4.0,22.0,5.81,96.8,0.0,10000,VFR
4.5,22.5,5.56,97.2,0.0,10000,VFR
5.0,23.0,5.29,97.5,0.0,10000,VFR
5.5,23.5,5.0,97.9,0.0,10000,VFR
6.0,0.0,4.7,98.2,0.0,10000,VFR
6.5,0.5,4.41,98.5,0.0,10000,VFR
7.0,1.0,4.13,98.8,0.0,10000,VFR
7.5,1.5,3.87,99.1,0.0,10000,VFR
8.0,2.0,3.63,99.3,0.0,10000,VFR
8.5,2.5,3.38,99.5,0.0,10000,VFR
9.0,3.0,3.13,99.5,0.0102,2844,VFR
9.5,3.5,2.76,99.5,0.0603,897,MVFR
10.0,4.0,2.35,99.5,0.1091,610,MVFR
10.5,4.5,1.97,99.5,0.1349,532,IFR
11.0,5.0,1.75,99.5,0.1442,509,IFR
11.5,5.5,1.85,99.3,0.0716,803,MVFR
12.0,6.0,2.39,97.0,0.0,10000,VFR
