time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-0.95,92.3,0.0,10000,VFR
1.0,19.0,-1.48,94.4,0.0,10000,VFR
2.0,20.0,-2.26,96.2,0.0,10000,VFR
3.0,21.0,-3.13,97.6,0.0,10000,VFR
4.0,22.0,-3.86,98.6,0.0,10000,VFR
5.0,23.0,-4.47,99.2,0.0,10000,VFR
6.0,0.0,-5.0,99.5,0.0015,10000,VFR
7.0,1.0,-5.7,99.5,0.0564,937,MVFR
8.0,2.0,-5.86,99.5,0.0567,935,MVFR
9.0,3.0,-5.97,99.5,0.0531,975,MVFR
10.0,4.0,-6.07,99.5,0.0499,1015,VFR
11.0,5.0,-6.17,99.5,0.0475,1048,VFR
12.0,6.0,-6.25,99.5,0.045,1085,VFR
13.0,7.0,-6.19,98.9,0.0391,1190,VFR
14.0,8.0,-3.56,93.4,0.0,10000,VFR
15.0,9.0,-1.72,90.9,0.0,10000,VFR
16.0,10.0,-0.05,87.0,0.0,10000,VFR
