time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-2.99,92.5,0.0087,3160,VFR
1.0,19.0,-3.37,95.4,0.0,10000,VFR
2.0,20.0,-3.72,97.9,0.0,10000,VFR
3.0,21.0,-4.04,100.0,0.01,2893,VFR
4.0,22.0,-4.21,100.0,0.0403,1167,VFR
5.0,23.0,-4.41,100.0,0.0617,885,VFR
6.0,0.0,-4.63,100.0,0.0742,784,MVFR
7.0,1.0,-4.86,100.0,0.0797,749,MVFR
8.0,2.0,-5.09,100.0,0.0815,738,MVFR
9.0,3.0,-5.32,100.0,0.0819,735,MVFR
10.0,4.0,-5.55,100.0,0.0817,737,MVFR
11.0,5.0,-5.78,100.0,0.0813,739,MVFR
12.0,6.0,-6.02,100.0,0.0809,742,MVFR
