time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,6.0,86.6,0.0,10000,VFR
0.5,18.5,4.86,92.7,0.0,10000,VFR
1.0,19.0,4.02,96.1,0.0,10000,VFR
1.5,19.5,2.72,98.2,0.0,10000,VFR
2.0,20.0,1.58,99.3,0.0,10000,VFR
2.5,20.5,0.73,99.5,0.0367,1240,VFR
3.0,21.0,0.55,99.5,0.0756,775,MVFR
3.5,21.5,0.43,99.5,0.0882,701,MVFR
4.0,22.0,0.31,99.5,0.0934,675,MVFR
4.5,22.5,0.2,99.5,0.096,663,MVFR
5.0,23.0,0.09,99.5,0.0972,658,MVFR
5.5,23.5,-0.02,99.5,0.0978,655,MVFR
6.0,0.0,-0.13,99.5,0.0982,653,MVFR
6.5,0.5,-0.25,99.5,0.0987,651,MVFR
7.0,1.0,-0.36,99.5,0.0997,647,MVFR
7.5,1.5,-0.5,99.5,0.1042,629,MVFR
8.0,2.0,-0.64,99.5,0.1068,619,MVFR
8.5,2.5,-0.69,99.5,0.0873,705,MVFR
9.0,3.0,-0.69,99.5,0.0668,839,MVFR
9.5,3.5,-0.66,99.3,0.0529,977,MVFR
10.0,4.0,-0.63,99.0,0.0433,1113,VFR
10.5,4.5,-0.58,98.7,0.0363,1249,VFR
11.0,5.0,-0.53,98.3,0.0309,1385,VFR
11.5,5.5,-0.54,99.1,0.0,10000,VFR
12.0,6.0,-0.42,98.2,0.0,10000,VFR
