time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,0.06,92.3,0.0,10000,VFR
1.0,19.0,-0.57,95.1,0.0,10000,VFR
2.0,20.0,-1.29,97.2,0.0,10000,VFR
3.0,21.0,-1.87,98.4,0.0,10000,VFR
4.0,22.0,-2.31,99.1,0.0,10000,VFR
5.0,23.0,-2.51,99.5,0.0,10000,VFR
6.0,0.0,-2.77,99.5,0.0393,1186,VFR
7.0,1.0,-2.92,99.5,0.0497,1017,VFR
8.0,2.0,-2.99,99.5,0.0453,1081,VFR
9.0,3.0,-3.04,99.5,0.0418,1139,VFR
10.0,4.0,-3.09,99.5,0.0383,1205,VFR
11.0,5.0,-3.14,99.5,0.036,1255,VFR
12.0,6.0,-3.18,99.5,0.0341,1301,VFR
