time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,3.98,74.9,0.0,10000,VFR
1.0,19.0,2.86,81.1,0.0,10000,VFR
2.0,20.0,1.86,87.1,0.0,10000,VFR
3.0,21.0,0.37,93.5,0.0,10000,VFR
4.0,22.0,-1.05,97.0,0.0,10000,VFR
5.0,23.0,-2.46,98.9,0.0,10000,VFR
6.0,0.0,-3.49,99.5,0.0059,4050,VFR
7.0,1.0,-4.31,99.5,0.0608,892,VFR
8.0,2.0,-4.39,99.5,0.053,977,VFR
9.0,3.0,-4.48,99.5,0.0505,1008,VFR
10.0,4.0,-4.56,99.5,0.0476,1047,VFR
11.0,5.0,-4.63,99.5,0.0454,1079,VFR
12.0,6.0,-4.69,99.5,0.0418,1139,VFR
