time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,8.02,75.3,0.0,10000,VFR
1.0,19.0,6.22,84.8,0.0,10000,VFR
2.0,20.0,4.43,92.4,0.0,10000,VFR
3.0,21.0,3.17,96.3,0.0,10000,VFR
4.0,22.0,2.26,98.3,0.0,10000,VFR
5.0,23.0,1.57,99.2,0.0,10000,VFR
6.0,0.0,1.01,99.5,0.0145,2265,VFR
7.0,1.0,0.64,99.5,0.0556,946,MVFR
8.0,2.0,0.58,99.5,0.0505,1008,VFR
9.0,3.0,0.52,99.5,0.0474,1049,VFR
10.0,4.0,0.46,99.5,0.0456,1077,VFR
11.0,5.0,0.43,99.5,0.0403,1166,VFR
12.0,6.0,0.38,99.5,0.0385,1202,VFR
