time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-0.02,68.8,0.0,10000,VFR
1.0,19.0,-2.18,77.7,0.0,10000,VFR
2.0,20.0,-3.22,84.2,0.0,10000,VFR
3.0,21.0,-4.27,91.1,0.0,10000,VFR
4.0,22.0,-4.87,95.4,0.0,10000,VFR
5.0,23.0,-5.34,98.3,0.0,10000,VFR
6.0,0.0,-5.67,99.4,0.0,10000,VFR
7.0,1.0,-6.1,99.5,0.0497,1017,VFR
8.0,2.0,-6.24,99.5,0.0515,994,MVFR
9.0,3.0,-6.34,99.5,0.0491,1025,VFR
10.0,4.0,-6.43,99.5,0.0463,1066,VFR
11.0,5.0,-6.52,99.5,0.0444,1095,VFR
12.0,6.0,-6.6,99.5,0.0428,1121,VFR
