time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,6.04,80.5,0.0,10000,VFR
1.0,19.0,4.74,88.1,0.0,10000,VFR
2.0,20.0,3.79,94.3,0.0,10000,VFR
3.0,21.0,3.05,99.3,0.0,10000,VFR
4.0,22.0,2.97,99.5,0.0157,2150,VFR
5.0,23.0,2.93,99.7,0.0168,2064,VFR
6.0,0.0,2.91,99.8,0.016,2130,VFR
7.0,1.0,2.9,99.8,0.0164,2093,VFR
8.0,2.0,2.88,99.8,0.0179,1980,VFR
9.0,3.0,2.86,100.0,0.0154,2177,VFR
10.0,4.0,2.86,99.9,0.0155,2171,VFR
11.0,5.0,2.85,99.9,0.0167,2071,VFR
12.0,6.0,2.83,99.9,0.0182,1958,VFR
