time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,18.99,48.2,0.0,10000,VFR
1.0,19.0,15.8,59.2,0.0,10000,VFR
2.0,20.0,13.54,68.6,0.0,10000,VFR
3.0,21.0,11.91,76.5,0.0,10000,VFR
4.0,22.0,11.2,80.5,0.0,10000,VFR
5.0,23.0,13.35,79.2,0.0,10000,VFR
6.0,0.0,13.75,83.5,0.0,10000,VFR
7.0,1.0,13.35,88.6,0.0,10000,VFR
8.0,2.0,12.32,94.6,0.0,10000,VFR
9.0,3.0,11.79,97.6,0.0,10000,VFR
10.0,4.0,11.46,98.9,0.0,10000,VFR
11.0,5.0,10.77,99.5,0.0064,3873,VFR
12.0,6.0,10.41,99.4,0.0615,886,MVFR
13.0,7.0,10.69,97.7,0.0448,1089,VFR
14.0,8.0,17.34,71.6,0.0,10000,VFR
15.0,9.0,21.49,60.2,0.0,10000,VFR
16.0,10.0,24.64,54.2,0.0,10000,VFR
