time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,12.99,66.4,0.0,10000,VFR
1.0,19.0,11.4,73.9,0.0,10000,VFR
2.0,20.0,10.25,79.8,0.0,10000,VFR
3.0,21.0,9.38,84.7,0.0,10000,VFR
4.0,22.0,8.69,88.8,0.0,10000,VFR
5.0,23.0,8.14,92.2,0.0,10000,VFR
6.0,0.0,7.68,95.2,0.0,10000,VFR
7.0,1.0,7.29,97.8,0.0,10000,VFR
8.0,2.0,6.96,100.0,0.0016,10000,VFR
9.0,3.0,7.11,98.6,0.0166,2075,VFR
10.0,4.0,6.94,99.8,0.0166,2073,VFR
11.0,5.0,6.94,99.8,0.0152,2203,VFR
12.0,6.0,6.98,99.4,0.0158,2144,VFR
