time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,10.01,75.7,0.0,10000,VFR
1.0,19.0,11.32,69.0,0.0,10000,VFR
2.0,20.0,11.39,69.0,0.0,10000,VFR
3.0,21.0,10.95,71.4,0.0,10000,VFR
4.0,22.0,10.17,75.3,0.0,10000,VFR
5.0,23.0,9.32,80.2,0.0,10000,VFR
6.0,0.0,8.39,85.8,0.0,10000,VFR
7.0,1.0,7.35,92.2,0.0,10000,VFR
8.0,2.0,6.48,97.2,0.0,10000,VFR
9.0,3.0,5.78,100.1,0.0283,1468,VFR
10.0,4.0,5.02,100.1,0.1212,570,IFR
11.0,5.0,4.38,100.0,0.1284,549,IFR
12.0,6.0,3.89,100.0,0.1258,556,IFR
