time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,18.03,62.8,0.0,10000,VFR
1.0,19.0,17.79,77.6,0.0,10000,VFR
2.0,20.0,17.36,83.6,0.0,10000,VFR
3.0,21.0,15.9,91.8,0.0,10000,VFR
4.0,22.0,14.7,96.3,0.0,10000,VFR
5.0,23.0,13.72,98.4,0.0,10000,VFR
6.0,0.0,12.84,99.4,0.0,10000,VFR
7.0,1.0,12.25,99.5,0.0645,859,MVFR
8.0,2.0,12.21,99.5,0.0564,937,MVFR
9.0,3.0,12.17,99.5,0.0553,949,MVFR
10.0,4.0,12.13,99.5,0.0543,961,MVFR
11.0,5.0,12.1,99.5,0.0505,1007,VFR
12.0,6.0,12.07,99.5,0.0466,1061,VFR
