time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,23.99,82.7,0.0,10000,VFR
0.5,18.5,24.02,82.6,0.0,10000,VFR
1.0,19.0,24.59,79.7,0.0,10000,VFR
1.5,19.5,24.77,78.8,0.0,10000,VFR
2.0,20.0,24.23,81.5,0.0,10000,VFR
2.5,20.5,23.55,85.0,0.0,10000,VFR
3.0,21.0,22.89,88.6,0.0,10000,VFR
3.5,21.5,22.3,91.8,0.0,10000,VFR
4.0,22.0,21.8,94.2,0.0,10000,VFR
4.5,22.5,21.38,96.0,0.0,10000,VFR
5.0,23.0,21.01,97.2,0.0,10000,VFR
5.5,23.5,20.68,98.0,0.0,10000,VFR
6.0,0.0,20.4,98.6,0.0,10000,VFR
6.5,0.5,20.16,99.1,0.0,10000,VFR
7.0,1.0,19.95,99.4,0.0,10000,VFR
7.5,1.5,19.88,99.5,0.006,4010,VFR
8.0,2.0,19.78,99.5,0.0893,695,MVFR
8.5,2.5,19.7,99.5,0.1282,549,IFR
9.0,3.0,19.62,99.4,0.146,505,IFR
9.5,3.5,19.54,99.4,0.1574,481,IFR
10.0,4.0,19.46,99.4,0.163,470,IFR
10.5,4.5,19.36,99.5,0.1633,469,IFR
11.0,5.0,19.37,99.1,0.1369,527,IFR
11.5,5.5,20.22,93.0,0.0,10000,VFR
12.0,6.0,20.85,88.1,0.0,10000,VFR
12.5,6.5,21.66,84.6,0.0,10000,VFR
13.0,7.0,22.19,82.4,0.0,10000,VFR
13.5,7.5,22.89,79.1,0.0,10000,VFR
14.0,8.0,23.37,76.9,0.0,10000,VFR
14.5,8.5,23.82,75.1,0.0,10000,VFR
15.0,9.0,24.15,73.9,0.0,10000,VFR
