time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,0.0,-3.99,99.7,0.0,10000,VFR
1.0,1.0,-4.2,100.0,0.032,1355,VFR
2.0,2.0,-4.38,100.0,0.0561,941,VFR
3.0,3.0,-4.6,100.0,0.0712,806,VFR
4.0,4.0,-4.83,100.0,0.0785,756,MVFR
5.0,5.0,-5.06,100.0,0.0811,740,MVFR
6.0,6.0,-5.29,100.0,0.0818,736,MVFR
7.0,7.0,-5.52,100.0,0.0817,737,MVFR
8.0,8.0,-5.75,99.8,0.0915,684,MVFR
9.0,9.0,-4.7,99.8,0.0681,829,VFR
10.0,10.0,-5.06,99.6,0.2453,360,IFR
11.0,11.0,-4.8,99.7,0.2333,372,IFR
12.0,12.0,-4.07,99.9,0.2326,373,IFR
