time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,2.03,86.1,0.0,10000,VFR
1.0,19.0,1.26,91.0,0.0,10000,VFR
2.0,20.0,0.49,94.7,0.0,10000,VFR
3.0,21.0,-0.65,97.1,0.0,10000,VFR
4.0,22.0,-1.75,98.6,0.0,10000,VFR
5.0,23.0,-2.69,99.4,0.0,10000,VFR
6.0,0.0,-3.63,99.5,0.0618,884,MVFR
7.0,1.0,-4.12,99.5,0.1053,624,MVFR
8.0,2.0,-4.5,99.5,0.1107,605,MVFR
9.0,3.0,-4.87,99.5,0.1104,606,MVFR
10.0,4.0,-5.23,99.5,0.1087,612,MVFR
11.0,5.0,-5.59,99.5,0.1068,619,MVFR
12.0,6.0,-5.95,99.5,0.1049,626,MVFR
13.0,7.0,-6.31,99.5,0.1032,633,MVFR
14.0,8.0,-6.22,98.1,0.0737,788,MVFR
15.0,9.0,-1.76,90.3,0.0,10000,VFR
