time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-2.12,94.9,0.0,10000,VFR
1.0,19.0,-2.47,97.4,0.0,10000,VFR
2.0,20.0,-2.82,100.0,0.0005,10000,VFR
3.0,21.0,-3.02,100.0,0.0399,1173,VFR
4.0,22.0,-3.24,100.0,0.0661,846,VFR
5.0,23.0,-3.46,100.0,0.0765,769,MVFR
6.0,0.0,-3.64,100.0,0.0746,781,MVFR
7.0,1.0,-3.81,100.0,0.0716,803,VFR
8.0,2.0,-3.97,100.0,0.0697,817,VFR
9.0,3.0,-4.14,100.0,0.0685,826,VFR
10.0,4.0,-4.3,100.0,0.0681,829,VFR
11.0,5.0,-4.47,100.0,0.0681,829,VFR
12.0,6.0,-4.64,100.0,0.0686,826,VFR
