time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,3.56,81.1,0.0,10000,VFR
0.5,18.5,2.89,85.0,0.0,10000,VFR
1.0,19.0,2.41,88.0,0.0,10000,VFR
1.5,19.5,2.01,90.6,0.0,10000,VFR
2.0,20.0,1.66,92.7,0.0,10000,VFR
2.5,20.5,1.29,94.4,0.0,10000,VFR
3.0,21.0,0.88,95.7,0.0,10000,VFR
3.5,21.5,0.46,96.8,0.0,10000,VFR
4.0,22.0,0.07,97.6,0.0,10000,VFR
4.5,22.5,-0.5,98.3,0.0,10000,VFR
5.0,23.0,-1.18,99.0,0.0,10000,VFR
5.5,23.5,-1.91,99.5,0.0035,10000,VFR
6.0,0.0,-2.74,99.5,0.0478,1044,VFR
6.5,0.5,-3.57,99.5,0.0933,676,MVFR
7.0,1.0,-3.88,99.5,0.1113,602,MVFR
7.5,1.5,-4.08,99.5,0.1129,597,IFR
8.0,2.0,-4.26,99.5,0.1112,603,MVFR
8.5,2.5,-4.44,99.5,0.1094,609,MVFR
9.0,3.0,-4.62,99.5,0.1078,615,MVFR
9.5,3.5,-4.8,99.5,0.1065,620,MVFR
10.0,4.0,-4.98,99.5,0.1053,624,MVFR
10.5,4.5,-5.15,99.5,0.1043,629,MVFR
11.0,5.0,-5.33,99.5,0.1032,633,MVFR
11.5,5.5,-5.5,99.5,0.1023,636,MVFR
12.0,6.0,-5.67,99.5,0.1005,644,MVFR
