time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-4.96,85.3,0.0,10000,VFR
1.0,19.0,-3.9,78.7,0.0,10000,VFR
2.0,20.0,-3.03,73.8,0.0,10000,VFR
3.0,21.0,-2.78,72.4,0.0,10000,VFR
4.0,22.0,-2.81,72.6,0.0,10000,VFR
5.0,23.0,-2.96,73.4,0.0,10000,VFR
6.0,0.0,-3.84,78.4,0.0,10000,VFR
7.0,1.0,-5.7,90.2,0.0,10000,VFR
8.0,2.0,-6.18,93.6,0.0,10000,VFR
9.0,3.0,-6.32,94.6,0.0,10000,VFR
10.0,4.0,-7.57,98.4,0.0,10000,VFR
11.0,5.0,-8.6,99.5,0.0031,10000,VFR
12.0,6.0,-9.39,99.5,0.0544,959,MVFR
