time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,4.01,86.4,0.0,10000,VFR
1.0,19.0,3.66,88.6,0.0,10000,VFR
2.0,20.0,3.31,90.8,0.0,10000,VFR
3.0,21.0,2.96,93.1,0.0,10000,VFR
4.0,22.0,2.61,95.5,0.0,10000,VFR
5.0,23.0,2.23,97.9,0.0,10000,VFR
6.0,0.0,1.07,100.0,0.0228,1691,VFR
7.0,1.0,0.15,100.0,0.0603,898,VFR
8.0,2.0,-0.16,100.0,0.0808,742,MVFR
9.0,3.0,-0.24,100.0,0.0886,699,MVFR
10.0,4.0,-0.57,100.0,0.0911,686,MVFR
11.0,5.0,-0.78,100.0,0.0916,684,MVFR
12.0,6.0,-0.98,100.0,0.0915,684,MVFR
