time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,5.06,92.5,0.0,10000,VFR
1.0,19.0,3.46,96.5,0.0,10000,VFR
2.0,20.0,1.66,98.8,0.0,10000,VFR
3.0,21.0,0.25,99.5,0.0312,1378,VFR
4.0,22.0,-0.19,99.5,0.0576,924,VFR
5.0,23.0,-0.27,99.5,0.0545,959,VFR
6.0,0.0,-0.33,99.5,0.0496,1019,VFR
7.0,1.0,-0.38,99.5,0.0448,1089,VFR
8.0,2.0,-0.42,99.5,0.0421,1133,VFR
9.0,3.0,-0.48,99.5,0.0417,1140,VFR
10.0,4.0,-0.5,99.5,0.0359,1258,VFR
11.0,5.0,-0.53,99.5,0.0324,1344,VFR
12.0,6.0,-0.56,99.5,0.0307,1391,VFR
