time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,15.0,30.98,32.2,0.0,10000,VFR
1.0,16.0,30.7,32.0,0.0,10000,VFR
2.0,17.0,30.15,33.0,0.0,10000,VFR
3.0,18.0,29.18,35.0,0.0,10000,VFR
4.0,19.0,28.43,37.3,0.0,10000,VFR
5.0,20.0,27.31,41.1,0.0,10000,VFR
6.0,21.0,25.76,46.6,0.0,10000,VFR
7.0,22.0,24.53,51.9,0.0,10000,VFR
8.0,23.0,23.6,56.2,0.0,10000,VFR
9.0,0.0,22.81,59.9,0.0,10000,VFR
10.0,1.0,22.02,63.9,0.0,10000,VFR
11.0,2.0,21.48,66.5,0.0,10000,VFR
12.0,3.0,20.86,69.5,0.0,10000,VFR
13.0,4.0,20.22,73.1,0.0,10000,VFR
14.0,5.0,20.03,75.1,0.0,10000,VFR
