time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-1.89,94.2,0.0,10000,VFR
1.0,19.0,-2.24,96.7,0.0,10000,VFR
2.0,20.0,-2.59,99.3,0.0,10000,VFR
3.0,21.0,-2.82,100.0,0.029,1446,VFR
4.0,22.0,-3.04,100.0,0.0622,880,VFR
5.0,23.0,-3.24,100.0,0.0736,788,MVFR
6.0,0.0,-3.41,100.0,0.0741,785,MVFR
7.0,1.0,-3.58,100.0,0.0736,788,MVFR
8.0,2.0,-3.75,100.0,0.0732,791,MVFR
9.0,3.0,-3.92,100.0,0.0729,793,MVFR
10.0,4.0,-4.1,100.0,0.0728,794,MVFR
11.0,5.0,-4.27,100.0,0.0726,795,MVFR
12.0,6.0,-4.45,100.0,0.0726,795,MVFR
