time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,14.0,24.99,33.0,0.0,10000,VFR
1.0,15.0,24.3,33.4,0.0,10000,VFR
2.0,16.0,24.41,32.3,0.0,10000,VFR
3.0,17.0,24.31,31.9,0.0,10000,VFR
4.0,18.0,23.38,33.6,0.0,10000,VFR
5.0,19.0,22.05,36.9,0.0,10000,VFR
6.0,20.0,20.97,40.5,0.0,10000,VFR
7.0,21.0,19.89,44.7,0.0,10000,VFR
8.0,22.0,19.0,49.0,0.0,10000,VFR
9.0,23.0,18.18,53.5,0.0,10000,VFR
10.0,0.0,17.41,58.0,0.0,10000,VFR
11.0,1.0,16.75,61.3,0.0,10000,VFR
12.0,2.0,16.17,64.5,0.0,10000,VFR
