time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,17.0,24.99,60.2,0.0,10000,VFR
1.0,18.0,24.63,61.6,0.0,10000,VFR
2.0,19.0,23.77,65.0,0.0,10000,VFR
3.0,20.0,23.21,67.3,0.0,10000,VFR
4.0,21.0,22.86,68.7,0.0,10000,VFR
5.0,22.0,22.51,70.3,0.0,10000,VFR
6.0,23.0,22.16,71.8,0.0,10000,VFR
7.0,0.0,21.81,73.4,0.0,10000,VFR
8.0,1.0,21.46,75.0,0.0,10000,VFR
9.0,2.0,21.11,76.7,0.0,10000,VFR
10.0,3.0,20.76,78.4,0.0,10000,VFR
11.0,4.0,20.41,80.2,0.0,10000,VFR
12.0,5.0,19.93,82.7,0.0,10000,VFR
