time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,3.01,80.3,0.0,10000,VFR
1.0,19.0,2.2,85.1,0.0,10000,VFR
2.0,20.0,1.57,89.0,0.0,10000,VFR
3.0,21.0,1.06,92.3,0.0,10000,VFR
4.0,22.0,0.64,95.2,0.0,10000,VFR
5.0,23.0,0.29,97.6,0.0,10000,VFR
6.0,0.0,-0.01,99.8,0.0,10000,VFR
7.0,1.0,-0.05,99.6,0.0156,2165,VFR
8.0,2.0,-0.11,100.0,0.0151,2206,VFR
9.0,3.0,-0.08,99.7,0.0149,2225,VFR
10.0,4.0,-0.12,99.9,0.0147,2244,VFR
11.0,5.0,-0.14,100.0,0.0154,2183,VFR
12.0,6.0,-0.13,99.8,0.0166,2077,VFR
