time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-6.99,92.2,0.0,10000,VFR
1.0,19.0,-7.34,94.8,0.0,10000,VFR
2.0,20.0,-7.69,97.4,0.0,10000,VFR
3.0,21.0,-8.04,100.0,0.0013,10000,VFR
4.0,22.0,-8.24,100.0,0.0307,1392,VFR
5.0,23.0,-8.44,100.0,0.0492,1025,VFR
6.0,0.0,-8.68,100.0,0.0628,874,VFR
7.0,1.0,-8.93,100.0,0.0694,819,VFR
8.0,2.0,-9.18,100.0,0.0719,800,VFR
9.0,3.0,-9.43,100.0,0.0726,795,MVFR
10.0,4.0,-9.68,100.0,0.0725,796,MVFR
11.0,5.0,-9.94,100.0,0.0722,798,MVFR
12.0,6.0,-10.19,100.0,0.0717,802,VFR
