time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,6.04,80.5,0.0,10000,VFR
1.0,19.0,4.52,88.5,0.0,10000,VFR
2.0,20.0,2.98,94.3,0.0,10000,VFR
3.0,21.0,1.88,97.3,0.0,10000,VFR
4.0,22.0,1.08,98.8,0.0,10000,VFR
5.0,23.0,0.5,99.4,0.0,10000,VFR
6.0,0.0,-0.06,99.5,0.0529,978,MVFR
7.0,1.0,-0.16,99.5,0.0513,998,MVFR
8.0,2.0,-0.23,99.5,0.0491,1026,VFR
9.0,3.0,-0.28,99.5,0.0444,1095,VFR
10.0,4.0,-0.33,99.5,0.042,1135,VFR
11.0,5.0,-0.38,99.5,0.0398,1175,VFR
12.0,6.0,-0.42,99.5,0.0377,1219,VFR
