time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,1.06,92.3,0.0,10000,VFR
1.0,19.0,0.1,95.4,0.0,10000,VFR
2.0,20.0,-1.15,97.6,0.0,10000,VFR
3.0,21.0,-2.43,99.0,0.0,10000,VFR
4.0,22.0,-3.55,99.5,0.0179,1976,VFR
5.0,23.0,-4.17,99.5,0.0567,934,VFR
6.0,0.0,-4.26,99.5,0.0512,998,VFR
7.0,1.0,-4.34,99.5,0.0472,1052,VFR
8.0,2.0,-4.4,99.5,0.0434,1111,VFR
9.0,3.0,-4.46,99.5,0.0405,1162,VFR
10.0,4.0,-4.51,99.5,0.0376,1221,VFR
11.0,5.0,-4.56,99.5,0.0355,1267,VFR
12.0,6.0,-4.61,99.5,0.0335,1316,VFR
