time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,1.06,92.3,0.0,10000,VFR
1.0,19.0,-0.4,96.8,0.0,10000,VFR
2.0,20.0,-1.63,98.8,0.0,10000,VFR
3.0,21.0,-2.63,99.5,0.0069,3671,VFR
4.0,22.0,-3.24,99.1,0.0526,981,VFR
5.0,23.0,-3.33,99.4,0.045,1085,VFR
6.0,0.0,-3.43,99.5,0.0439,1104,VFR
7.0,1.0,-3.48,99.5,0.0402,1169,VFR
8.0,2.0,-3.53,99.5,0.0385,1201,VFR
9.0,3.0,-3.4,98.5,0.0283,1468,VFR
10.0,4.0,-3.04,96.7,0.0,10000,VFR
11.0,5.0,-2.54,93.2,0.0,10000,VFR
12.0,6.0,-1.99,89.5,0.0,10000,VFR
