time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,3.72,88.0,0.0,10000,VFR
1.0,19.0,3.37,90.2,0.0,10000,VFR
2.0,20.0,3.02,92.4,0.0,10000,VFR
3.0,21.0,2.67,94.8,0.0,10000,VFR
4.0,22.0,2.32,97.2,0.0,10000,VFR
5.0,23.0,1.97,99.7,0.0,10000,VFR
6.0,0.0,1.78,100.0,0.0385,1202,VFR
7.0,1.0,1.61,100.0,0.0692,821,VFR
8.0,2.0,1.41,100.0,0.0854,716,MVFR
9.0,3.0,1.21,100.0,0.0912,686,MVFR
10.0,4.0,1.01,100.0,0.093,677,MVFR
11.0,5.0,0.81,100.0,0.0934,675,MVFR
12.0,6.0,0.6,100.0,0.0932,676,MVFR
