time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-2.94,99.3,0.0273,1503,VFR
1.0,19.0,-3.51,100.0,0.041,1153,VFR
2.0,20.0,-4.19,100.0,0.059,910,VFR
3.0,21.0,-4.86,100.0,0.066,846,VFR
4.0,22.0,-5.49,100.0,0.0676,833,VFR
5.0,23.0,-6.09,100.0,0.067,838,VFR
6.0,0.0,-6.66,100.0,0.0655,850,VFR
7.0,1.0,-7.2,100.0,0.0639,864,VFR
8.0,2.0,-7.72,100.0,0.0622,879,VFR
9.0,3.0,-8.21,100.0,0.0607,894,VFR
10.0,4.0,-8.68,100.0,0.0592,908,VFR
11.0,5.0,-9.13,100.0,0.0578,922,VFR
12.0,6.0,-9.55,100.0,0.0566,935,VFR
